face0.png,Neutral
face1.png,Neutral
face2.png,Neutral
face3.png,Sad
face4.png,Neutral
face5.png,Happy
face6.png,Happy
face7.png,Happy
face8.png,Happy
face9.png,Happy
face10.png,Happy
face11.png,Happy
face12.png,Happy
face13.png,Happy
face14.png,Happy
face15.png,Happy
face16.png,Happy
face17.png,Happy
face18.png,Happy
face19.png,Happy
face20.png,Happy
face21.png,Happy
face22.png,Happy
face23.png,Happy
face24.png,Neutral
face25.png,Neutral
face26.png,Neutral
face27.png,Neutral
face28.png,Happy
face29.png,Happy
face30.png,Happy
face31.png,Happy
face32.png,Happy
